,Finishing Position,Average Number of Stops
0,1,1.9782608695652173
1,2,2.0
2,3,2.0391304347826087
3,4,2.0956521739130434
4,5,2.0434782608695654
5,6,2.0217391304347827
6,7,2.0130434782608697
7,8,1.9782608695652173
8,9,2.0695652173913044
9,10,2.061135371179039
10,11,2.0695652173913044
11,12,2.152173913043478
12,13,2.217391304347826
13,14,2.2576419213973797
14,15,2.276315789473684
15,16,2.2152466367713006
16,17,2.1743119266055047
17,18,2.1649484536082473
18,19,2.130434782608696
19,20,1.832
20,21,1.9275362318840579
21,22,2.0408163265306123
22,23,1.7826086956521738
23,24,1.5
